estimator,feature_engineer,loss,accuracy,cost_time,highc_cat_encoder,minimum_fraction,af_hidden
lightgbm,operate.keep_going,0.0634761,0.9365238981998758,27.4923,encode.cat_boost,0.1:float,
lightgbm,select.boruta,0.0634885,0.9365114835505896,37.8602,encode.entity,0.01:float,
extra_trees,select.boruta,0.0645934,0.9354065797641218,15.6596,encode.cat_boost,0.01:float,
lightgbm,select.boruta,0.064612,0.9353879577901925,26.3045,encode.ordinal,0.01:float,
random_forest,select.boruta,0.0657045,0.9342954686530106,24.0535,encode.cat_boost,0.1:float,
random_forest,operate.keep_going,0.0667784,0.9332216014897579,12.0166,encode.cat_boost,0.001:float,
lightgbm,select.boruta,0.0679516,0.9320484171322161,27.9215,encode.ordinal,0.1:float,
lightgbm,generate.autofeat,0.0690379,0.9309621353196773,14.6612,encode.entity,0.001:float,
random_forest,generate.autofeat,0.0690441,0.9309559279950342,30.4722,encode.cat_boost,0.1:float,
lightgbm,generate.autofeat,0.0690441,0.9309559279950342,17.5525,encode.entity,0.001:float,
logistic_regression,select.boruta,0.0701552,0.929844816883923,10.5516,encode.ordinal,0.01:float,
tabular_nn,generate.autofeat,0.0711794,0.9288206083178151,15.5028,encode.cat_boost,0.01:float,tanh
logistic_regression,select.boruta,0.0712353,0.9287647423960272,6.81008,encode.entity,0.1:float,
lightgbm,operate.keep_going,0.0712725,0.9287274984481689,3.74669,encode.ordinal,0.1:float,
lightgbm,operate.keep_going,0.072365,0.9276350093109869,4.66702,encode.entity,0.001:float,
lightgbm,operate.keep_going,0.0723836,0.9276163873370578,23.0512,encode.entity,0.001:float,
lightgbm,select.boruta,0.0723898,0.9276101800124147,19.1696,encode.cat_boost,0.01:float,
lightgbm,select.boruta,0.0724022,0.9275977653631285,27.4162,encode.ordinal,0.1:float,
random_forest,operate.keep_going,0.0734637,0.9265363128491619,27.6044,encode.ordinal,0.1:float,
lightgbm,operate.keep_going,0.0734885,0.9265114835505898,17.6583,encode.ordinal,0.01:float,
lightgbm,select.boruta,0.0735009,0.9264990689013036,17.7922,encode.ordinal,0.001:float,
lightgbm,generate.autofeat,0.0745934,0.9254065797641218,15.3176,encode.cat_boost,0.001:float,
lightgbm,operate.keep_going,0.0757169,0.9242830540037245,26.821,encode.cat_boost,0.001:float,
extra_trees,generate.autofeat,0.0790503,0.9209497206703912,33.044,encode.entity,0.1:float,
lightgbm,select.boruta,0.0801614,0.9198386095592799,9.00299,encode.cat_boost,0.001:float,
random_forest,select.boruta,0.0823774,0.9176225946617009,15.082,encode.cat_boost,0.001:float,
tabular_nn,operate.keep_going,0.0826381,0.9173618870266915,21.7275,encode.entity,0.01:float,tanh
random_forest,select.boruta,0.0834761,0.9165238981998758,8.70089,encode.ordinal,0.01:float,
extra_trees,generate.autofeat,0.0835071,0.9164928615766605,28.2769,encode.entity,0.001:float,
lightgbm,generate.autofeat,0.0835196,0.9164804469273744,8.65808,encode.cat_boost,0.01:float,
random_forest,select.boruta,0.0846058,0.9153941651148354,9.70362,encode.ordinal,0.1:float,
random_forest,operate.keep_going,0.0857294,0.9142706393544383,11.1234,encode.entity,0.001:float,
extra_trees,operate.keep_going,0.0857356,0.914264432029795,25.7327,encode.entity,0.01:float,
random_forest,operate.keep_going,0.0857418,0.9142582247051522,26.5694,encode.entity,0.01:float,
random_forest,generate.autofeat,0.0857542,0.9142458100558659,36.8136,encode.entity,0.1:float,
lightgbm,operate.keep_going,0.0857604,0.9142396027312228,19.9179,encode.cat_boost,0.1:float,
tabular_nn,operate.keep_going,0.0879516,0.9120484171322161,8.92761,encode.ordinal,0.01:float,leaky_relu
random_forest,operate.keep_going,0.0879702,0.9120297951582866,26.3101,encode.entity,0.1:float,
extra_trees,operate.keep_going,0.0890999,0.9109000620732465,7.99364,encode.ordinal,0.01:float,
extra_trees,operate.keep_going,0.0891123,0.9108876474239602,10.3981,encode.cat_boost,0.01:float,
extra_trees,operate.keep_going,0.0891186,0.9108814400993172,8.38205,encode.entity,0.01:float,
logistic_regression,operate.keep_going,0.0901552,0.909844816883923,5.25503,encode.cat_boost,0.01:float,
extra_trees,generate.autofeat,0.09018,0.9098199875853508,14.0634,encode.cat_boost,0.01:float,
random_forest,generate.autofeat,0.090211,0.9097889509621353,13.5857,encode.cat_boost,0.01:float,
random_forest,select.boruta,0.091347,0.9086530105524518,16.3117,encode.entity,0.01:float,
lightgbm,operate.keep_going,0.092396,0.9076039726877715,26.0671,encode.cat_boost,0.01:float,
random_forest,operate.keep_going,0.0924022,0.9075977653631284,23.5068,encode.ordinal,0.01:float,
extra_trees,select.boruta,0.0924084,0.9075915580384855,11.3754,encode.ordinal,0.1:float,
random_forest,generate.autofeat,0.0924333,0.9075667287399132,19.2519,encode.ordinal,0.1:float,
lightgbm,select.boruta,0.0957045,0.9042954686530106,21.7794,encode.cat_boost,0.001:float,
extra_trees,generate.autofeat,0.0957356,0.9042644320297951,32.6705,encode.ordinal,0.1:float,
extra_trees,select.boruta,0.095748,0.9042520173805089,15.4367,encode.cat_boost,0.001:float,
extra_trees,select.boruta,0.0957542,0.9042458100558658,14.2175,encode.cat_boost,0.01:float,
lightgbm,select.boruta,0.0957542,0.9042458100558658,20.2253,encode.entity,0.01:float,
extra_trees,operate.keep_going,0.0957914,0.9042085661080075,9.45432,encode.ordinal,0.01:float,
extra_trees,operate.keep_going,0.0968467,0.9031533209186839,27.3017,encode.ordinal,0.001:float,
random_forest,select.boruta,0.0979702,0.9020297951582867,33.8887,encode.entity,0.01:float,
extra_trees,generate.autofeat,0.0979764,0.9020235878336436,21.1785,encode.entity,0.1:float,
lightgbm,generate.autofeat,0.0980137,0.9019863438857852,25.0266,encode.ordinal,0.001:float,
random_forest,operate.keep_going,0.0990813,0.9009186840471756,12.3509,encode.entity,0.01:float,
lightgbm,select.boruta,0.10023,0.8997703289882061,12.2439,encode.cat_boost,0.1:float,
extra_trees,generate.autofeat,0.101316,0.8986840471756672,17.8599,encode.ordinal,0.001:float,
extra_trees,select.boruta,0.102427,0.8975729360645561,14.2507,encode.entity,0.1:float,
random_forest,generate.autofeat,0.10576,0.8942396027312227,35.676,encode.cat_boost,0.001:float,
extra_trees,select.boruta,0.105767,0.8942333954065796,29.3811,encode.entity,0.01:float,
extra_trees,generate.autofeat,0.105785,0.8942147734326504,18.663,encode.ordinal,0.001:float,
logistic_regression,select.boruta,0.106878,0.8931222842954686,23.3391,encode.entity,0.1:float,
extra_trees,select.boruta,0.106896,0.8931036623215395,26.5219,encode.cat_boost,0.01:float,
extra_trees,operate.keep_going,0.110211,0.8897889509621353,31.274,encode.ordinal,0.1:float,
random_forest,select.boruta,0.112439,0.8875605214152701,24.2727,encode.cat_boost,0.1:float,
extra_trees,generate.autofeat,0.112464,0.8875356921166976,33.9646,encode.entity,0.1:float,
logistic_regression,generate.autofeat,0.113569,0.8864307883302297,17.4561,encode.entity,0.01:float,
random_forest,select.boruta,0.114674,0.8853258845437615,12.7764,encode.ordinal,0.01:float,
random_forest,select.boruta,0.116896,0.8831036623215394,10.406,encode.entity,0.01:float,
random_forest,generate.autofeat,0.117995,0.8820049658597144,12.0103,encode.ordinal,0.01:float,
random_forest,select.boruta,0.118051,0.8819490999379267,29.1644,encode.entity,0.001:float,
random_forest,generate.autofeat,0.118051,0.8819490999379267,13.1944,encode.cat_boost,0.001:float,
random_forest,operate.keep_going,0.121366,0.8786343885785227,12.9885,encode.cat_boost,0.1:float,
tabular_nn,generate.autofeat,0.122483,0.8775170701427685,27.9756,encode.entity,0.01:float,relu
extra_trees,operate.keep_going,0.123613,0.8763873370577281,23.6803,encode.entity,0.01:float,
random_forest,operate.keep_going,0.12468,0.8753196772191185,12.8137,encode.ordinal,0.001:float,
random_forest,generate.autofeat,0.124693,0.8753072625698323,10.9742,encode.entity,0.01:float,
random_forest,select.boruta,0.124693,0.8753072625698325,12.6838,encode.ordinal,0.01:float,
random_forest,generate.autofeat,0.124711,0.8752886405959032,14.7755,encode.cat_boost,0.1:float,
extra_trees,select.boruta,0.124718,0.8752824332712601,15.5824,encode.cat_boost,0.001:float,
lightgbm,operate.keep_going,0.125804,0.8741961514587213,3.21732,encode.entity,0.001:float,
random_forest,operate.keep_going,0.126896,0.8731036623215394,9.78778,encode.entity,0.01:float,
random_forest,operate.keep_going,0.128032,0.8719677219118559,8.96034,encode.cat_boost,0.001:float,
random_forest,select.boruta,0.128051,0.8719490999379268,28.34,encode.cat_boost,0.01:float,
extra_trees,select.boruta,0.128051,0.8719490999379268,28.2345,encode.entity,0.001:float,
random_forest,generate.autofeat,0.12915,0.8708504034761019,13.6456,encode.cat_boost,0.01:float,
random_forest,operate.keep_going,0.13023,0.869770328988206,9.98458,encode.cat_boost,0.1:float,
random_forest,operate.keep_going,0.130267,0.8697330850403476,13.6134,encode.cat_boost,0.01:float,
logistic_regression,select.boruta,0.130267,0.8697330850403475,10.3745,encode.cat_boost,0.01:float,
random_forest,operate.keep_going,0.131353,0.868646803227809,10.6146,encode.cat_boost,0.1:float,
logistic_regression,generate.autofeat,0.131372,0.8686281812538794,17.385,encode.cat_boost,0.1:float,
extra_trees,operate.keep_going,0.131397,0.8686033519553072,28.3557,encode.entity,0.001:float,
random_forest,select.boruta,0.131415,0.868584729981378,15.9754,encode.entity,0.001:float,
extra_trees,generate.autofeat,0.131421,0.8685785226567351,37.3192,encode.entity,0.1:float,
logistic_regression,operate.keep_going,0.132508,0.8674922408441962,22.5483,encode.cat_boost,0.001:float,
random_forest,select.boruta,0.1336,0.8663997517070143,9.56711,encode.ordinal,0.1:float,
random_forest,select.boruta,0.133625,0.8663749224084419,30.9487,encode.cat_boost,0.01:float,
random_forest,select.boruta,0.134711,0.8652886405959033,35.2192,encode.cat_boost,0.1:float,
extra_trees,generate.autofeat,0.135822,0.8641775294847921,25.4376,encode.ordinal,0.01:float,
logistic_regression,operate.keep_going,0.135847,0.8641527001862197,25.9552,encode.entity,0.001:float,
logistic_regression,generate.autofeat,0.135854,0.8641464928615766,30.0979,encode.entity,0.001:float,
random_forest,select.boruta,0.136965,0.8630353817504656,27.4961,encode.entity,0.1:float,
random_forest,generate.autofeat,0.138057,0.8619428926132837,13.6984,encode.cat_boost,0.01:float,
extra_trees,generate.autofeat,0.13915,0.8608504034761018,26.4815,encode.ordinal,0.1:float,
random_forest,select.boruta,0.139187,0.8608131595282433,10.8853,encode.cat_boost,0.001:float,
extra_trees,select.boruta,0.139187,0.8608131595282433,12.8205,encode.entity,0.001:float,
logistic_regression,select.boruta,0.139218,0.8607821229050279,6.32856,encode.entity,0.1:float,
logistic_regression,generate.autofeat,0.139224,0.8607759155803848,28.4319,encode.entity,0.1:float,
extra_trees,generate.autofeat,0.140292,0.8597082557417753,10.6091,encode.entity,0.001:float,
lightgbm,generate.autofeat,0.14139,0.8586095592799504,10.7186,encode.entity,0.01:float,
extra_trees,operate.keep_going,0.141397,0.8586033519553073,10.7755,encode.ordinal,0.01:float,
random_forest,generate.autofeat,0.14144,0.8585599006828056,28.8967,encode.ordinal,0.01:float,
extra_trees,select.boruta,0.145916,0.8540844196151458,25.7041,encode.entity,0.001:float,
logistic_regression,generate.autofeat,0.146965,0.8530353817504654,17.6897,encode.entity,0.1:float,
tabular_nn,operate.keep_going,0.148088,0.8519118559900685,33.6099,encode.ordinal,0.001:float,leaky_relu
extra_trees,select.boruta,0.148094,0.8519056486654252,14.0566,encode.entity,0.001:float,
random_forest,generate.autofeat,0.150298,0.8497020484171323,15.5242,encode.entity,0.01:float,
extra_trees,operate.keep_going,0.15031,0.8496896337678461,25.1272,encode.entity,0.001:float,
tabular_nn,select.boruta,0.150379,0.8496213531967722,31.9339,encode.ordinal,0.01:float,relu
random_forest,operate.keep_going,0.151421,0.848578522656735,7.45228,encode.entity,0.001:float,
random_forest,select.boruta,0.151453,0.8485474860335197,24.8949,encode.cat_boost,0.01:float,
random_forest,select.boruta,0.152539,0.8474612042209808,11.0124,encode.entity,0.1:float,
tabular_nn,generate.autofeat,0.152564,0.8474363749224085,10.9645,encode.cat_boost,0.01:float,tanh
logistic_regression,operate.keep_going,0.153613,0.8463873370577282,4.81738,encode.cat_boost,0.1:float,
extra_trees,select.boruta,0.153644,0.8463563004345127,12.4773,encode.entity,0.1:float,
random_forest,operate.keep_going,0.15478,0.8452203600248295,26.0224,encode.ordinal,0.01:float,
random_forest,generate.autofeat,0.158113,0.841887026691496,18.3309,encode.ordinal,0.1:float,
tabular_nn,operate.keep_going,0.159224,0.8407759155803849,6.33678,encode.cat_boost,0.01:float,tanh
logistic_regression,generate.autofeat,0.15923,0.8407697082557417,44.9935,encode.entity,0.001:float,
random_forest,select.boruta,0.159237,0.8407635009310986,29.8548,encode.cat_boost,0.1:float,
extra_trees,generate.autofeat,0.159292,0.840707635009311,12.3546,encode.ordinal,0.01:float,
random_forest,select.boruta,0.163669,0.8363314711359404,10.0283,encode.entity,0.001:float,
random_forest,operate.keep_going,0.163693,0.836306641837368,30.361,encode.ordinal,0.001:float,
extra_trees,operate.keep_going,0.163693,0.836306641837368,26.393,encode.ordinal,0.001:float,
